url	first_seen	portal	title	company	status	location
https://openai.com/careers/gtm-readiness-lead-sydney-australia/	2026-06-08	websearch	GTM Readiness Lead	OpenAI	skipped_title	Sydney (Director-level program enablement, not growth PM)
https://job-boards.greenhouse.io/wgachidden/jobs/8328723002	2026-06-08	websearch	Senior Product Manager (AU)	Who Gives A Crap	added	Melbourne/Sydney, AU
https://job-boards.greenhouse.io/wgachidden/jobs/8328732002	2026-06-08	websearch	Senior Product Manager (AU) - Acquisition	Who Gives A Crap	added	Melbourne/Sydney, AU
https://apply.workable.com/eightcap/j/5188954B31	2026-06-08	websearch	Product Growth Manager	Eightcap	added	Melbourne, AU
https://apply.workable.com/employment-hero/j/BC827F2258	2026-06-08	websearch	Growth Product Manager	Employment Hero	added	Sydney, AU
https://jobs.ashbyhq.com/airwallex/5488d78e-72fb-4c26-b743-af0fca4069c0	2026-06-08	websearch	Senior Product Manager, Corporate Site	Airwallex	added	Melbourne, AU
https://www.coupang.jobs/en/jobs/5415217/head-of-growth-marketing/	2026-06-08	websearch	Head of Growth Marketing	Coupang	added	Taipei, Taiwan
https://boards.greenhouse.io/coupang/jobs/6879207	2026-06-08	websearch	Senior Product Manager - CX	Coupang	added	Taipei, Taiwan
https://boards.greenhouse.io/coupang/jobs/7139279	2026-06-08	websearch	Senior Product Manager I (Retail Catalog)	Coupang	added	Taipei, Taiwan
https://boards.greenhouse.io/coupang/jobs/7050712	2026-06-08	websearch	Senior Product Manager (Fulfillment)	Coupang	added	Taipei, Taiwan
https://www.tbcasoft.com/taipei-fintech-senior-product-manager/	2026-06-08	websearch	Fintech (Senior) Product Manager	TBCASoft	skipped_title	Taipei (blockchain in requirements — negative keyword)
https://jobs.lever.co/binance/209642ad-c0a2-4864-9c16-9d4ae64cd877	2026-06-08	websearch	Senior Product Manager, KYB	Binance	skipped_title	Taipei (crypto company — negative keyword)
https://apply.workable.com/tactiqio/j/7AFD9AE7C1/	2026-06-08	websearch	Principal Product Manager (Team Growth)	Tactiq.io	skipped_title	Sydney (Principal — negative keyword)
https://apply.workable.com/skedulo/j/960C79A003/	2026-06-08	websearch	Product Manager	Skedulo	skipped_location	Brisbane, AU (not in allow list: Melbourne/Taipei)
